product_title,cluster_label,category_label
intel xeon gold 6154 3 ghz 18 core 36 threads 24.75 mb cache lga3647 socket oem,Intel Xeon Gold 6154 3.0GHz Tray,CPUs
samsung ue49nu7300 49 inch curved ultra hd 4k freeview certified hdr smart tv,Samsung UE49NU7300,TVs
classic black,Myphone Classic + Dual SIM,Mobile Phones
hewlett packard enterprise intel xeon e5504 2ghz 4mb l3 processor,HP Intel Xeon DP E5504 2.0GHz Socket 1366 800MHz bus Upgrade Tray,CPUs
intel 3060 processor 2.4 ghz box 4 mb l2,Intel Xeon 3040 1.86GHz Socket 775 1066MHz Box,CPUs
blomberg lrf285411w washer dryer in white 1400rpm 8kg 5kg,Blomberg LRF285411,Washing Machines
siemens be634lgs1b 900w 21l built in microwave with grill stainless steel,Siemens BE634LGS1B Stainless Steel,Microwaves
siemens geschirrsp ler 45 cm speedmatic45 iq500 sr656d00te,Siemens SR656D00TE Integrated,Dishwashers
hewlett packard enterprise amd opteron 2352 2.1ghz 2mb l3 processor,HP AMD Opteron Quad-core 2352 2.10GHz Socket F 1000MHz bus Upgrade Tray,CPUs
bosch toplader wei wor20156,Bosch WOR20156,Washing Machines
hewlett packard enterprise intel xeon e5630 2.53ghz 12mb l3 processor,HP Intel Xeon E5630 2.53GHz Upgrade Tray,CPUs
hewlett packard enterprise bl685c g7 6238 2.6ghz 16mb l3 processor,HP AMD Opteron 6238 2.6GHz Upgrade Tray,CPUs
lg g2 16gb sim free smartphone uk version white,LG G2 16GB,Mobile Phones
iceking tt35ap2 table top freezer,Iceking TT35AP White,Freezers
sony ericsson g900i mobile phone,Sony Ericsson G900,Mobile Phones
akai digital microwave 800w,Akai A24003 Silver,Microwaves
hewlett packard enterprise amd opteron 8435 2.6ghz 6mb l3 box processor,HP AMD Opteron 8435 Six-Core 2.60GHz Socket F 2400MHz bus Upgrade Tray,CPUs
philips 55oled903,Philips 55OLED903,TVs
smeg fab28qro1 50s style pink fridge,Smeg FAB28QRO1 Pink,Fridges
hoover hz54we 55cm wide freestanding upright under counter freezer white,Hoover HZ54WE White,Freezers
reflexion led1017t2hd portable tv 25.4 cm 10 battery powered camping tv incl. 12v car power cable incl. dvb antenna,Reflexion LED1017T2HD,TVs
bosch serie 6 gin41ae30g 56cm wide frost free integrated upright freezer white,Bosch GIN41AE30G Integrated,Freezers
sony kd75xf9005bu 75 4k uhd tv led hdr 4k smart android freeview hd youview,Sony Bravia KD-75XF9005,TVs
bosch sms46mw02g 60cm dishwasher,Bosch SMS46MW02G White,Dishwashers
liebherr kpef 4350 20,Liebherr KPef 4350 Premium Stainless Steel,Fridges
lg kc550 mobile phone,LG KC550,Mobile Phones
aeg free standing dishwasher in stainless steel,AEG FFE83700PM Stainless Steel,Dishwashers
beafon sl250 eu1bs bea fon sl250 black silver unlocked,Beafon AL550 Dual SIM,Mobile Phones
intel xeon processor e5 2658 v4 35m cache 2.30 ghz 35mb,Intel Xeon E5 2658V4 2.3GHz Tray,CPUs
htc wildfire s black,HTC Wildfire S,Mobile Phones
intel xeon e3 1225 v6 4x 3.30ghz sockel 1151 box bx80677e31225v6,Intel Core E3-1225 v6 3.3GHz Box,CPUs
hp xeon x5680 3.33ghz 12mb l2 processor,HP Intel Xeon X5680 3.33GHz Socket 1366 3200MHz bus Upgrade Tray,CPUs
iphone xs max gold 6.5 256gb 4g unlocked sim free,Apple iPhone XS Max 256GB,Mobile Phones
mikrowelle mo4250cli gorenje,Gorenje MO4250CLI Cream,Microwaves
panasonic lumix dmc g70 inkl. lumix g vario 3 5 5 6 14 140 mm power ois schwarz,Panasonic Lumix DMC-G70 + 14-140mm,Digital Cameras
montpellier mwdi7555 1400 spin built in washer dryer,Montpellier MWDI7555,Washing Machines
hewlett packard enterprise dl385 g7 amd opteron 6132he processor kit 2.2ghz 12mb l3 processor,HP AMD Opteron 6132HE 2.2GHz Socket G34 3200MHz bus Upgrade Tray,CPUs
neff microwave oven 25litre black frameless,Neff H12GE60S0G Black,Microwaves
canon eos 800d digital slr camera with 18 55mm is stm lens,Canon EOS 800D + 18-55mm IS STM,Digital Cameras
rff332wha,Nordmende RFF332WHAPlus White,Fridge Freezers
sony kd 55xf7596 55 xf75 4k ultra hd hdr smart tv,Sony KD-55XF7596,TVs
aeg ffb53600zm full size dishwasher stainless steel,AEG FFB53600ZM Stainless Steel,Dishwashers
sharp r20dwm solo microwave 20 litre 800 w white,Sharp R20DWM White,Microwaves
wiko lenny 3 rose gold,Wiko Lenny 3 Dual SIM,Mobile Phones
intel core intel core i7 5820k processor 15m cache up to 3.60 ghz,Intel Core i7-5820K 3.3GHz  Box,CPUs
lg oled65g8pla 65 smart 4k ultra hd hdr oled tv,LG OLED65G8PLA,TVs
nikon d610 with 24 85mm f3.5 4.5g ed vr digital slr lens kit,Nikon D610 + 24-85mm VR,Digital Cameras
neff s72t69x3gb 60cm fully integrated taller height dishwasher display clearance,Neff S72T69X3GB Integrated,Dishwashers
john lewis partners jlwm1407 freestanding washing machine 7kg load 1400rpm spin a energy rating white,John Lewis JLWM1407,Washing Machines
gorenje onrk193bk frost free fridge freezer retro style rh hinge black,Gorenje ONRK193BK Black,Fridge Freezers
lg 43lk5900pla 43 full hd smart tv wi fi black led tv,LG 43LK5900PLA,TVs
nokia 8 glossy blue 128 gb android 7.1 smartphone,Nokia 8 128GB,Mobile Phones
liebherr gn 3023 21 comfort freistehend,Liebherr GN3023 White,Freezers
hp amd opteron dual core 2216 he 2.4ghz upgrade 2.4ghz 2mb l2,HP AMD Opteron 2216 HE 2.4GHz Upgrade Tray,CPUs
candy csc1365be freestanding fridge freezer black,Candy CSC1365BE,Fridge Freezers
sony kd43xf8505bu bravia 43in android tv 4k hdr ultra hd with youview freeview hd,Sony Bravia KD-43XF8505,TVs
hisense rq560n4wc1 american multi door fridge freezer stainless steel a,Hisense RQ560N4WC1,Fridge Freezers
miele fn28262clst 60cm wide frost free freestanding upright freezer clean steel,Miele FN 28262 edt/cs Stainless Steel,Freezers
bosch einbau k hlschrank kir21ed30 eek a,Bosch KIR21ED30 Integrated,Fridges
bosch einbau k hl /gefrier kombination top freezer schleppt r technik kid26v21ie eek a,Bosch KID26V21IE Integrated,Fridge Freezers
miele wdb020 freestanding 7kg front loading eco washing machine white,Miele WDB020,Washing Machines
lec intfz600 built in freezer,Lec INTFZ600 Integrated,Freezers
aeg ffb53600zw 13 place freestanding dishwasher white,AEG FFB53600ZW White,Dishwashers
gorenje rb4092anw,Gorenje RB4092ANW White,Fridges
xiaomi mi a1 64g golden 4g ram dual camera 5.5 dual sim androidone non uk official version,Xiaomi Mi A1 64GB Dual SIM,Mobile Phones
liebherr t1414 50cm freestanding undercounter fridge with ice box white,Liebherr TP1414 White,Fridges
rollei sportsline 80 black,Rollei Sportsline 80,Digital Cameras
bosch wdu28560gb 10kg serie 6 washer dryer white,Bosch WDU28560GB,Washing Machines
bosch hmt75m451b freestanding microwave,Bosch HMT75M451B Stainless Steel,Microwaves
rb29fsjndsa 307 litre frost free fridge freezer,Samsung RB29FSJNDSA Stainless Steel,Fridge Freezers
intel xeon l5506 processor 2.13 ghz 4 mb smart cache,Intel Xeon L5506 2.13GHz Socket 1366 2400MHz bus Tray,CPUs
